q	I
0.0201202	0.003387676900000001
0.0206296	0.0027768007
0.0211389	-0.00021213959999999941
0.0216483	0.0026073182999999996
0.0221577	0.003928114199999999
0.0226671	0.0015378692999999995
0.0231764	0.002297464400000001
0.0236858	0.0009130033999999992
0.0241952	0.0010841047000000013
0.0247045	0.0039623585200000006
0.0252139	0.0042461932300000005
0.0257233	0.0014132335700000002
0.0262327	0.003060810579999999
0.026742	0.0003074770899999992
0.0272514	0.0014835646299999998
0.0277608	0.00144908547
0.0282701	0.0029473430900000003
0.0287795	0.0009380183900000007
0.0292889	0.0025620204
0.0297983	0.002606669889999999
0.0303076	0.0024246372100000003
0.030817	0.00279257377
0.0313264	0.0012325564999999998
0.0318357	0.00177813653
0.0323451	0.0014966847199999996
0.0328545	0.00275303788
0.0333639	0.0022422588900000004
0.0338732	0.0034192799499999996
0.0343826	0.00274952678
0.034892	0.00334941729
0.0354014	0.0025045261100000004
0.0359107	0.00183369494
0.0364201	0.0021460458300000002
0.0369295	0.00300667048
0.0374388	0.0015355415899999999
0.0379482	0.00213660015
0.0384576	0.0023989555899999997
0.038967	0.0011565076499999998
0.0394763	0.0023055075600000004
0.0399857	0.0016082324500000002
0.0404951	0.0027631088099999996
0.0410044	0.0013334854899999995
0.0415138	0.00305807171
0.0420232	0.0027677543099999995
0.0425326	0.0018301537299999998
0.0430419	0.0028035854600000003
0.0435513	0.0024856436
0.0440607	0.0019837449100000002
0.04457	0.0026003427999999997
0.0450794	0.00266464971
0.0455888	0.0031056698
0.0460982	0.00250799067
0.0466075	0.00249117189
0.0471169	0.0031637002399999997
0.0476263	0.00216399684
0.0481357	0.00279861675
0.048645	0.00226458458
0.0491544	0.00282837367
0.0496638	0.0029749947800000003
0.0501731	0.0019528041599999996
0.0506825	0.0025414596999999996
0.0511919	0.0022771893
0.0517013	0.00200686768
0.0522106	0.0021391454500000002
0.05272	0.0019520161399999994
0.0532294	0.0023285946100000004
0.0537387	0.0031767263799999997
0.0542481	0.0018307082699999997
0.0547575	0.00237459139
0.0552669	0.0020015910800000006
0.0557762	0.0015666728599999999
0.0562856	0.0033633702800000003
0.056795	0.00223051676
0.0573043	0.00226785622
0.0578137	0.0020870012900000004
0.0583231	0.0016144719800000001
0.0588325	0.0026935227899999997
0.0593418	0.00210261513
0.0598512	0.0015226782800000001
0.0603606	0.00192678802
0.0608699	0.00221502059
0.0613793	0.00230722557
0.0618887	0.0020895792
0.0623981	0.00242193935
0.0629074	0.0037313768000000005
0.0634168	0.0026648521400000004
0.0639262	0.0023134015299999997
0.0644356	0.0020637573199999994
0.0649449	0.0009921105999999998
0.0654543	0.00213091298
0.0659637	0.00307829375
0.066473	0.0030014900700000005
0.0669824	0.00297212035
0.0674918	0.00246133773
0.0680012	0.0021058434700000003
0.0685105	0.0021843559700000003
0.0690199	0.0020156340499999995
0.0695293	0.0017430579399999998
0.0700386	0.00196293644
0.070548	0.00223653656
0.0710574	0.0022715636600000003
0.0715668	0.00282434876
0.0720761	0.0011953020699999998
0.0725855	0.0011533168099999995
0.0730949	0.0019031086300000002
0.0736042	0.0027162754299999998
0.0741136	0.00155895444
0.074623	0.0018286536500000004
0.0751324	0.00114094816
0.0756417	0.0024384509200000002
0.0761511	0.0006335105500000003
0.0766605	0.0014545305
0.0771699	0.00119927917
0.0776792	0.0024168355599999995
0.0781886	0.00171286642
0.078698	0.0016576090599999998
0.0792073	0.0016840337199999999
0.0797167	0.0006772887699999998
0.0802261	0.0010858642899999995
0.0807355	0.00130480828
0.0812448	0.00096940467
0.0817542	0.0015197614199999997
0.0822636	0.0018572291999999998
0.0827729	0.0013698764700000002
0.0832823	0.0007502811999999998
0.0837917	0.0007784066399999998
0.0843011	0.00028267611000000036
0.0848104	0.00107211223
0.0853198	0.00058122953
0.0858292	0.00100224067
0.0863385	0.00028093174999999993
0.0868479	-0.00012214090000000006
0.0873573	0.0008240646899999996
0.0878667	0.0008934057499999999
0.088376	0.0008294262499999997
0.0888854	0.0010156081099999999
0.0893948	0.0004719527100000001
0.0899042	0.0002952330300000001
0.0904135	0.00019686132999999998
0.0909229	0.0010260644199999998
0.0914323	0.0008110544500000002
0.0919416	0.0007833010499999999
0.092451	0.00068159699
0.0929604	0.0007555194000000002
0.0934698	0.0009059285599999998
0.0939791	0.0008479062500000001
0.0944885	0.00061062729
0.0949979	0.00098395518
0.0955072	0.0014661560699999999
0.0960166	0.0019372507500000002
0.096526	0.00150802309
0.0970354	0.00120422962
0.0975447	0.0009442672399999998
0.0980541	0.0021215492400000003
0.0985635	0.0019262917799999996
0.0990728	0.00211743729
0.0995822	0.00203020152
0.100092	0.0025481825
0.100601	0.00283957648
0.10111	0.00243718582
0.10162	0.0033078252099999995
0.102129	0.0039135060400000005
0.102638	0.00340528007
0.103148	0.0029545174399999994
0.103657	0.0037752745999999997
0.104167	0.00421409056
0.104676	0.00352331408
0.105185	0.0041587737900000005
0.105695	0.00493306323
0.106204	0.00453240471
0.106713	0.00439651211
0.107223	0.004957989120000001
0.107732	0.005402617070000001
0.108242	0.00447919385
0.108751	0.00539209077
0.10926	0.004219943490000001
0.10977	0.00511182238
0.110279	0.005237150449999999
0.110788	0.005055967519999999
0.111298	0.00554813767
0.111807	0.00572873141
0.112317	0.0058588272299999996
0.112826	0.007003113050000001
0.113335	0.006336887459999999
0.113845	0.006036546110000001
0.114354	0.00640192748
0.114863	0.0067760096200000005
0.115373	0.006330256980000001
0.115882	0.00646993912
0.116391	0.007046774930000001
0.116901	0.00808929474
0.11741	0.0074455645599999995
0.11792	0.00750250857
0.118429	0.007586316710000001
0.118938	0.0080542672
0.119448	0.00804874181
0.119957	0.00857765809
0.120466	0.00860693641
0.120976	0.008330233869999999
0.121485	0.00799566455
0.121995	0.00835100757
0.122504	0.00804371873
0.123013	0.00918601764
0.123523	0.00963284338
0.124032	0.00909719216
0.124541	0.00949207782
0.125051	0.00967889533
0.12556	0.00929209879
0.12607	0.00945998188
0.126579	0.00902370466
0.127088	0.009194269330000001
0.127598	0.01067200113
0.128107	0.00934580414
0.128616	0.009003902309999999
0.129126	0.00986829149
0.129635	0.01086781227
0.130145	0.010219836239999999
0.130654	0.009892923380000002
0.131163	0.01116670876
0.131673	0.01086235776
0.132182	0.010559322369999999
0.132691	0.01117551335
0.133201	0.01087140828
0.13371	0.01098250387
0.13422	0.011793877520000001
0.134729	0.01222602853
0.135238	0.01125559043
0.135748	0.0117312911
0.136257	0.01216032626
0.136766	0.012132962399999999
0.137276	0.01216232018
0.137785	0.01190357303
0.138294	0.01236624802
0.138804	0.012092860099999998
0.139313	0.01231421926
0.139823	0.013341119819999999
0.140332	0.01261262241
0.140841	0.013142308010000001
0.141351	0.01241692855
0.14186	0.01362633493
0.142369	0.01375818242
0.142879	0.01344071848
0.143388	0.013865503000000001
0.143898	0.014132165479999998
0.144407	0.013770460909999999
0.144916	0.014445977490000001
0.145426	0.014402591089999998
0.145935	0.01423925657
0.146444	0.01408157072
0.146954	0.01496271822
0.147463	0.015001398570000001
0.147973	0.014739388950000001
0.148482	0.015168292799999998
0.148991	0.01646375479
0.149501	0.014417765870000002
0.15001	0.01478394993
0.150519	0.01540604165
0.151029	0.01518367845
0.151538	0.01621932697
0.152048	0.01595636982
0.152557	0.016318275780000002
0.153066	0.016808665339999997
0.153576	0.016436146670000002
0.154085	0.01649172116
0.154594	0.01673481262
0.155104	0.01827213251
0.155613	0.01669217049
0.156123	0.01769965463
